CSF	WhiteMatter	GlobalSignal	stdDVARS	non-stdDVARS	vx-wisestdDVARS	FramewiseDisplacement	tCompCor00	tCompCor01	tCompCor02	tCompCor03	tCompCor04	tCompCor05	aCompCor00	aCompCor01	aCompCor02	aCompCor03	aCompCor04	aCompCor05	X	Y	Z	RotX	RotY	RotZ	AROMAAggrComp01	AROMAAggrComp02	AROMAAggrComp04	AROMAAggrComp06	AROMAAggrComp07	AROMAAggrComp14
919.3829792599116	793.0738620731906	776.3188797932437	n/a	n/a	n/a	n/a	-0.2111997495	0.0661874657	0.0056701686	-0.2500139656	0.2204584797	-0.09313707480000001	-0.2967438768	-0.0657881686	0.0127349145	-0.1529969205	0.0320338566	-0.17101682079999997	-0.0301959	0.0852803	-0.23883	-0.000852468	0.0019131	0.0	-2.78990251	-1.719565534	1.561733467	0.5732425332	0.102367635	1.54051804
920.1617001896136	792.0291435152136	775.1103079551872	0.97321814	30.61035538	0.95149964	0.1963642	-0.3329127065	0.1250863606	-0.17394356379999998	-0.0192831414	0.0925797607	0.0099011001	-0.3262332709	-0.10431876679999999	-0.0619324001	-0.1435681144	-0.0746258617	0.0273302738	-0.0512513	0.143063	-0.206906	-0.00253827	0.00188686	-1.69407e-21	-2.088837408	-2.061020843	0.6884594556	1.81002366	0.08223271349	0.1762820244
913.7448665976673	792.3262103713116	774.4752794792163	0.95193779	29.9410305	0.95880407	0.1509545	-0.229368291	0.15692626880000002	-0.048484541500000006	-0.2061016048	0.0842853316	-0.0688215769	-0.2914062516	-0.116543645	0.0290348045	-0.0496402873	0.057514810599999994	-0.12176562140000001	-0.0504421	0.0725272	-0.194056	-0.0014341	0.00165584	0.0	-2.16937137	-1.727817413	0.9316317734	0.1752547468	0.9177158671	0.992353331
914.7247997678636	791.8216143560385	774.9195215284143	0.98415554	30.95436478	0.97366685	0.17960995	-0.2757118138	0.0940089933	-0.1541343891	0.0099776732	0.1221574176	0.061873491100000004	-0.259714027	-0.067715817	0.018885468	-0.17546289199999998	0.00458557	0.0105406476	-0.0564297	0.10698	-0.154334	-0.00294336	0.00155851	0.000382361	-1.580196364	-1.938472116	-0.8930283672	1.438981812	0.4374734726	0.05562227902
912.9002977482337	790.8037766331689	775.8716575269582	1.00823915	31.71186066	0.98318845	0.11503154999999997	-0.19864833399999998	0.09004232029999999	-0.1583592433	-0.2190614016	-0.014885351000000002	-0.1385373911	-0.2598067538	-0.1167639463	0.2096921653	-0.10376170380000001	0.0092878079	0.028492719	-0.0639976	0.0614278	-0.134588	-0.0023811	0.00168684	0.00053508	-1.36334808	-1.610788889	0.9271491883	0.4460120083	1.108506174	0.9347604246
912.7640097091574	792.2284825894386	776.0766671106535	0.98138911	30.86735344	0.97708553	0.03930125	-0.24866382	0.2256597068	0.0429554285	0.0374283932	0.1371946768	0.0439884004	-0.26687902420000004	-0.0742544258	-0.09766540369999999	-0.21956986239999998	0.07187235780000001	-0.0373509233	-0.061603	0.061059	-0.131656	-0.00279658	0.00144643	0.000518853	-1.332303517	-1.760294994	-0.361139188	0.7867250197	1.712018206	0.7370986483
912.9059984098213	791.7528176424588	776.050448871805	1.03448462	32.53735352	1.00110722	0.11736975	-0.23413666670000002	0.0427796198	-0.1686903311	0.0232301895	-0.0929358024	-0.14671080150000002	-0.23350279300000001	-0.0589029971	0.0718287658	-0.09109915699999999	-0.028384566099999998	0.2661123709	-0.0575524	0.0891947	-0.0710805	-0.00259845	0.00143754	0.000803992	-0.8912617663	-1.192521642	1.87834528	1.018356791	1.405408755	-0.01383382404
910.7545528913383	793.1155284523863	773.6346710590308	1.03948915	32.69475937	1.00182652	0.14866949999999998	-0.208829037	0.1936123488	0.3289480192	0.016932064099999998	0.1326193587	0.0155663922	-0.2138454725	-0.0038126351	-0.2566021586	-0.0397907787	0.0173986367	-0.0992738879	-0.0404318	0.0191961	-0.0760729	-0.00332532	0.00130087	0.00107161	-0.8964335174	-1.362070396	0.3351030216	0.09981518719	2.566632276	0.7775380398
910.8630502051727	793.0490640146538	773.1113969714518	1.04622722	32.90668869	1.00804627	0.2058863	-0.20708374289999998	-0.1029812428	-0.109243058	0.2238773037	-0.0846238591	0.0340402084	-0.2023140186	0.0371309044	-0.1112646072	0.1319349492	-0.1667917297	0.2292064685	-0.0581212	0.0790648	-0.0048772	-0.00422913	0.00109748	0.00110706	-0.2197901394	-1.103816668	0.1457889117	1.75201224	0.5619375168	-1.141570502
905.9423235766556	792.369536463086	772.9033054396982	1.04825842	32.97057724	0.99932611	0.16536834	-0.0356577966	-0.0844871678	0.2834962635	-0.1580200681	0.0198469548	-0.1856324527	-0.0903285784	0.0778544816	-0.134511146	0.15030252449999998	0.036627511	-0.10888444060000001	-0.0511435	0.00680116	0.0431568	-0.00449654	0.00136597	0.00133302	0.05820142999	-0.5912330783	1.268745693	-0.4969271075	2.043514866	-0.4827024792
