CSF	WhiteMatter	GlobalSignal	stdDVARS	non-stdDVARS	vx-wisestdDVARS	FramewiseDisplacement	tCompCor00	tCompCor01	tCompCor02	tCompCor03	tCompCor04	tCompCor05	aCompCor00	aCompCor01	aCompCor02	aCompCor03	aCompCor04	aCompCor05	Cosine00	Cosine01	X	Y	Z	RotX	RotY	RotZ	AROMAAggrComp01	AROMAAggrComp02	AROMAAggrComp03	AROMAAggrComp04	AROMAAggrComp05	AROMAAggrComp06	AROMAAggrComp07	AROMAAggrComp08	AROMAAggrComp09	AROMAAggrComp11
789.5506565771367	581.1727639667172	567.1381875788628	n/a	n/a	n/a	n/a	-0.20004240260000003	-0.0097002086	-0.09575478220000001	0.0449514247	-0.0156262453	0.1718273689	-0.2376059811	0.08426680800000001	-0.2298270127	-0.0555718891	0.1283308243	-0.07743149469999999	0.1084605987	0.1084467085	0.0168985	0.0141071	0.0438325	0.00096316	-0.0	-0.000150474	-2.187944441	-2.109318559	2.161190478	1.341049989	0.8622784339	2.294866795	2.623579544	0.9480044201	1.333053103	2.463441891
780.5273506452843	581.3332332231782	565.2942807865144	0.99860883	38.32434464	0.98326659	0.13517258999999998	0.0178467228	-0.005804970400000001	-0.016619898	0.024565679	-0.1181966774	0.22309666390000002	-0.1551838853	-0.0425706493	-0.2316959641	0.004581240800000001	0.0978988391	-0.111462627	0.10842355949999999	0.1082985834	0.0112058	-0.0433058	0.068002	0.00139544	0.000441553	-6.63572e-05	-2.769521627	-1.502372413	1.974499436	1.518093199	1.239612454	2.667805692	0.9138585481	-1.006124649	0.8601777946	2.545417251
779.1155080476718	580.3572160259528	565.5721519347712	0.99307698	38.11204529	0.99227422	0.09657608	0.0820242607	0.0598011105	-0.0336347824	0.0797870117	-0.0304557293	0.0926000828	-0.08848033400000001	-0.20457174460000002	-0.1192704807	0.0097528752	0.0068991011	-0.0285217173	0.1083494938	0.10800253539999999	0.00615733	-0.00520439	0.107338	0.00124614	0.000529818	-2.21182e-05	-2.987257394	-1.441983905	2.300049814	0.995916469	1.393305499	1.843682415	0.04500044948	-0.4691743596	0.2178738721	2.401933297
779.019222431461	580.3209758053963	565.572399597438	1.03894317	39.87228394	1.00364697	0.14054192	0.0191985801	0.1296796298	-0.0838273199	-0.0186322182	-0.034757260400000003	0.0955167816	-0.1424080734	-0.1143943339	-0.0440618992	-0.10623740720000001	0.040858134	0.0521394589	0.1082384268	0.10755896890000001	0.0181975	-0.0468264	0.0413906	0.00105238	0.000613088	-0.000163735	-2.499584491	-1.673366984	1.818078256	1.963708901	-0.05983594946	2.365185798	-0.1229659918	0.3435814955	-0.005270479795	2.056288632
781.0942257149742	581.2445485803438	565.4723233234365	1.05474305	40.47864914	1.00997698	0.1889668	-0.16185016789999998	0.0024557043	-0.0759572916	0.005559608299999999	-0.0274188865	0.14122634039999998	-0.16732400279999998	0.03660547	-0.1958266758	-0.0482359597	0.025491840800000002	-0.0125675278	0.1080903965	0.10696848980000001	0.014982	0.0131019	0.107698	0.0018572	0.000289186	-0.000102145	-3.031324883	-1.241729553	2.475673719	2.166689204	0.2414995244	1.964780615	2.504556098	0.9864172043	2.138344183	1.839781782
779.2674715452695	580.7854454180376	564.1242283780726	1.04203784	39.99105453	1.00972056	0.10958925	-0.0094125719	-0.09035389630000001	0.010677820800000001	0.0505882921	-0.022147311200000002	0.20873092219999997	-0.068164139	-0.025754129100000002	-0.1916438142	0.0166683107	0.1003423643	0.0165196021	0.1079054534	0.10623190460000001	0.0219309	-0.0380958	0.08380519999999998	0.00182946	-0.000124819	-0.000211397	-3.315037202	-1.159343295	1.355811667	2.274154061	1.64865983	0.785007658	1.025566127	-0.9533676586	-0.5369679529	1.177756089
778.0127148103427	579.9810116532767	564.0039891326841	1.06906915	41.02845383	1.01429391	0.10703534999999999	0.0107167003	0.077251885	-0.0070383416	-0.0142224674	0.07331673679999999	0.1660776537	-0.1277295393	-0.1065302298	-0.033033621299999996	-0.0020464479	-0.0266117887	-0.026535923399999998	0.1076836607	0.1053502195	0.0204725	-0.0119495	0.0979577	0.00151698	0.0008463369999999998	-0.00018947	-2.953897161	-1.483600052	2.088255462	1.810777898	-0.1234118332	2.151094923	1.224075379	2.312475961	-0.6854593218	1.511210672
775.6524551811923	579.3474178340788	563.0192348962606	1.0518266	40.36672211	1.01155329	0.07278524999999998	-0.1104019728	0.0473482185	0.0680190097	-0.060606990599999994	-0.0804004398	0.22522558739999998	-0.1660915207	0.018170043700000003	0.026726028500000002	0.1125614858	0.0782411724	-0.0262772608	0.10742509410000001	0.10432463859999999	0.0121654	-0.0270266	0.07618959999999998	0.00138745	0.000443126	-0.000169552	-2.858330574	-1.697995055	1.315758654	1.114682813	-0.3453863564	1.028506253	1.833805352	0.07417995565	1.207874128	1.368171995
778.6191582944048	580.2050013804864	563.7985480568078	1.05105019	40.33692551	1.02693939	0.237403655	0.1113461526	0.0508097933	0.0371879775	0.07858791150000001	-0.19846076140000002	0.1436809149	-0.08609237970000001	-0.1212695896	-0.1071866816	0.1551664515	0.019955543500000002	0.1134510648	0.10712984199999999	0.1031565627	0.00547743	0.00486276	0.199206	0.000690656	0.00114001	-4.70315e-05	-3.9374016	-1.063260617	2.254794791	0.4631018795	0.8719767957	0.6908527793	-0.4038524179	-2.3179867	1.826230838	-0.8236945148
780.1476646128159	579.0592499361687	565.5969813406588	1.0464437	40.16013718	1.04673517	0.242320925	0.07863844910000001	0.18417474530000003	-0.1558770018	0.22041884190000002	-0.1787346941	0.012852511100000002	-0.1387520591	-0.1940153357	-0.0296359961	0.0136446854	-0.19946296239999997	-0.0445033717	0.1067980051	0.1018475875	0.00283871	-0.0441442	0.0524075	-0.000133963	0.0011827500000000004	-5.72074e-05	-2.12512162	-2.163247631	1.639487269	0.3397114839	0.6142030939	2.607909457	-0.7157896056	-2.254081596	0.1818400143	1.981408293
