"Trial" "syllable" "Onset" "block_num" "Place" "voice" "filename" "place" "voicing" "manner" "rplace" "rvoicing" "rmanner" "rLab" "rAlv" "rDent" "rPal" "rVel" "rFric" "rStop" "rNasal" "rVcd" "rVls" "rvoice" "sylltrans" "voicetrans" "MillSim"
1 "sa" 10566 1 "alveolar" "3" "sa.2.3.mp3" "Alv" "Vls" "Fric" "none" "none" "none" "null" "null" "null" "null" "null" "null" "null" "null" "null" "null" "null" "null" "null" 0
2 "ka" 11710 1 "velar" "1" "ka.3.1.mp3" "Vel" "Vls" "Stop" "diffcat" "repcat" "diffcat" "null" "null" "null" "null" "null" "null" "null" "null" "null" "repVls" "diffVoice" "sa-ka" "3-1" 0.0628311471416047
3 "ba" 13202 1 "labial" "2" "ba.2.2.mp3" "Lab" "Vcd" "Stop" "diffcat" "diffcat" "repcat" "null" "null" "null" "null" "null" "null" "repStop" "null" "null" "null" "diffVoice" "ka-ba" "1-2" 0.0209350458377875
4 "SH_a" 14710 1 "palato-alveolar" "3" "SH_a.1.3.mp3" "Pal" "Vcd" "Fric" "diffcat" "repcat" "diffcat" "null" "null" "null" "null" "null" "null" "null" "null" "repVcd" "null" "diffVoice" "ba-SH_a" "3-2" 0.0284752464955132
5 "na" 16202 1 "alveolar" "1" "na.2.1.mp3" "Alv" "Vcd" "Nas" "diffcat" "repcat" "diffcat" "null" "null" "null" "null" "null" "null" "null" "null" "repVcd" "null" "diffVoice" "SH_a-na" "3-1" 0.0303880622037938
6 "ta" 17695 1 "alveolar" "1" "ta.2.1.mp3" "Alv" "Vls" "Stop" "repcatvoice" "repvoice" "repvoice" "null" "repAlv" "null" "null" "null" "null" "null" "null" "null" "null" "repVoice" "na-ta" "1-1" 0.0196978714889416
7 "TH_a" 19203 1 "dental" "4" "TH_a.2.4.mp3" "Dent" "Vcd" "Fric" "diffcat" "diffcat" "diffcat" "null" "null" "null" "null" "null" "null" "null" "null" "null" "null" "diffVoice" "ta-TH_a" "1-4" 0.018398855471175
8 "fa" 20695 1 "labio-dental" "2" "fa.5.2.mp3" "Lab" "Vls" "Fric" "diffcat" "diffcat" "repcat" "null" "null" "null" "null" "null" "repFric" "null" "null" "null" "null" "diffVoice" "TH_a-fa" "2-4" 0.0336796104980624
9 "ta" 22204 1 "alveolar" "2" "ta.1.2.mp3" "Alv" "Vls" "Stop" "repvoice" "repcatvoice" "repvoice" "null" "null" "null" "null" "null" "null" "null" "null" "null" "repVls" "repVoice" "ta-fa" "2-2" 0.0578158780927524
10 "ma" 23696 1 "labial" "2" "ma.1.2.mp3" "Lab" "Vcd" "Nas" "repvoice" "repvoice" "repvoice" "null" "null" "null" "null" "null" "null" "null" "null" "null" "null" "repVoice" "ta-ma" "2-2" 0.0223566002469745
11 "ma" 25205 1 "labial" "4" "ma.2.4.mp3" "Lab" "Vcd" "Nas" "repsyll" "repsyll" "repsyll" "repLab" "null" "null" "null" "null" "null" "null" "repNas" "repVcd" "null" "diffVoice" "ma-ma" "2-4" NA
12 "fa" 26697 1 "labio-dental" "4" "fa.1.4.mp3" "Lab" "Vls" "Fric" "repcatvoice" "repvoice" "repvoice" "repLab" "null" "null" "null" "null" "null" "null" "null" "null" "null" "repVoice" "fa-ma" "4-4" 0.015844076735163
13 "sa" 28206 1 "alveolar" "4" "sa.1.4.mp3" "Alv" "Vls" "Fric" "repvoice" "repcatvoice" "repcatvoice" "null" "null" "null" "null" "null" "repFric" "null" "null" "null" "repVls" "repVoice" "sa-fa" "4-4" 0.0673755969649652
14 "tha" 29698 1 "dental" "2" "tha.2.2.mp3" "Dent" "Vls" "Fric" "diffcat" "repcat" "repcat" "null" "null" "null" "null" "null" "repFric" "null" "null" "null" "repVls" "diffVoice" "sa-tha" "2-4" 0.15482586365123
15 "ba" 31206 1 "labial" "3" "ba.1.3.mp3" "Lab" "Vcd" "Stop" "diffcat" "diffcat" "diffcat" "null" "null" "null" "null" "null" "null" "null" "null" "null" "null" "diffVoice" "ba-tha" "3-2" 0.0444361928288333
16 "pa" 32698 1 "labial" "4" "pa.3.4.mp3" "Lab" "Vls" "Stop" "repcat" "diffcat" "repcat" "repLab" "null" "null" "null" "null" "null" "repStop" "null" "null" "null" "diffVoice" "ba-pa" "3-4" 0.0224225492966449
17 "va" 34207 1 "labio-dental" "3" "va.2.3.mp3" "Lab" "Vcd" "Fric" "repcat" "diffcat" "diffcat" "repLab" "null" "null" "null" "null" "null" "null" "null" "null" "null" "diffVoice" "pa-va" "3-4" 0.0205061465402239
18 "sa" 35699 1 "alveolar" "2" "sa.3.2.mp3" "Alv" "Vls" "Fric" "diffcat" "diffcat" "repcat" "null" "null" "null" "null" "null" "repFric" "null" "null" "null" "null" "diffVoice" "sa-va" "3-2" 0.0231050611407216
