"Trial" "syllable" "Onset" "block_num" "Place" "voice" "filename" "rms" "place" "voicing" "manner" "rplace" "rvoicing" "rmanner" "rLab" "rAlv" "rDent" "rPal" "rVel" "rFric" "rStop" "rNasal" "rVcd" "rVls" "rvoice" "sylltrans" "voicetrans" "MillSim" "MillMDS1" "MillMDS2"
1 "TH_a" 10231 5 "dental" "4" "TH_a.2.4.mp3" 1293 "Dent" "Vcd" "Fric" "none" "none" "none" "null" "null" "null" "null" "null" "null" "null" "null" "null" "null" "null" "null" "null" 0.120990305857703 0.15088964529664 0.629016833270206
2 "ka" 11714 5 "velar" "3" "ka.2.3.mp3" 1723 "Vel" "Vls" "Stop" "diffcat" "diffcat" "diffcat" "null" "null" "null" "null" "null" "null" "null" "null" "null" "null" "diffVoice" "TH_a-ka" "3-4" 0.0212738357864609 3.39304417940864 0.289976224124346
3 "fa" 13214 5 "labio-dental" "2" "fa.3.2.mp3" 1663 "Lab" "Vls" "Fric" "diffcat" "repcat" "diffcat" "null" "null" "null" "null" "null" "null" "null" "null" "null" "repVls" "diffVoice" "ka-fa" "3-2" 0.0763014313858586 0.12334675406765 0.554210522166959
4 "za" 14713 5 "avleolar" "3" "za.1.3.mp3" 2261 "Alv" "Vcd" "Fric" "diffcat" "diffcat" "repcat" "null" "null" "null" "null" "null" "repFric" "null" "null" "null" "null" "diffVoice" "za-fa" "3-2" 0.017564189078639 3.65238925330715 0.530649609548034
5 "ta" 16213 5 "alveolar" "4" "ta.3.4.mp3" 1003 "Alv" "Vls" "Stop" "repcat" "diffcat" "diffcat" "null" "repAlv" "null" "null" "null" "null" "null" "null" "null" "null" "diffVoice" "za-ta" "3-4" 0.0233811261053915 3.72233771471433 1.05647810991699
6 "ga" 17713 5 "velar" "4" "ga.2.4.mp3" 1156 "Vel" "Vcd" "Stop" "repvoice" "repvoice" "repcatvoice" "null" "null" "null" "null" "null" "null" "repStop" "null" "null" "null" "repVoice" "ta-ga" "4-4" 0.0177160218315514 3.73722904018011 0.890611035596548
7 "ka" 19228 5 "velar" "2" "ka.1.2.mp3" 1267 "Vel" "Vls" "Stop" "repcat" "diffcat" "repcat" "null" "null" "null" "null" "repVel" "null" "repStop" "null" "null" "null" "diffVoice" "ka-ga" "4-2" 0.0256297494333007 3.54393382470528 0.918993057394552
8 "tha" 20728 5 "dental" "3" "tha.2.3.mp3" 1567 "Dent" "Vls" "Fric" "diffcat" "repcat" "diffcat" "null" "null" "null" "null" "null" "null" "null" "null" "null" "repVls" "diffVoice" "ka-tha" "3-2" 0.0805281948632112 0.46639321115336 0.523121573827148
9 "za" 22227 5 "avleolar" "2" "za.3.2.mp3" 1541 "Alv" "Vcd" "Fric" "diffcat" "diffcat" "repcat" "null" "null" "null" "null" "null" "repFric" "null" "null" "null" "null" "diffVoice" "za-tha" "3-2" 0.0321029606059229 3.06264928808614 0.561738557887845
10 "sha" 23726 5 "palato-alveolar" "2" "sha.2.2.mp3" 2062 "Pal" "Vls" "Fric" "repvoice" "repvoice" "repcatvoice" "null" "null" "null" "null" "null" "repFric" "null" "null" "null" "null" "repVoice" "za-sha" "2-2" 0.0167885857759985 3.31319564950554 1.63375642351369
11 "TH_a" 25226 5 "dental" "3" "TH_a.1.3.mp3" 2240 "Dent" "Vcd" "Fric" "diffcat" "diffcat" "repcat" "null" "null" "null" "null" "null" "repFric" "null" "null" "null" "null" "diffVoice" "TH_a-sha" "3-2" 0.0181476535647975 3.17719732967468 2.42864033110434
12 "ta" 26725 5 "alveolar" "2" "ta.1.2.mp3" 2140 "Alv" "Vls" "Stop" "diffcat" "diffcat" "diffcat" "null" "null" "null" "null" "null" "null" "null" "null" "null" "null" "diffVoice" "TH_a-ta" "3-2" 0.018398855471175 3.58633939488347 0.261594202326342
13 "sha" 28225 5 "palato-alveolar" "4" "sha.3.4.mp3" 1558 "Pal" "Vls" "Fric" "diffcat" "repcat" "diffcat" "null" "null" "null" "null" "null" "null" "null" "null" "null" "repVls" "diffVoice" "ta-sha" "4-2" 0.0486434393382033 0.40914206520879 2.69023453343068
14 "ga" 29724 5 "velar" "1" "ga.3.1.mp3" 3092 "Vel" "Vcd" "Stop" "diffcat" "diffcat" "diffcat" "null" "null" "null" "null" "null" "null" "null" "null" "null" "null" "diffVoice" "sha-ga" "4-1" 0.0180389145793569 3.32808697497132 1.79962349783413
15 "va" 31224 5 "labio-dental" "3" "va.2.3.mp3" 1371 "Lab" "Vcd" "Fric" "diffcat" "repcat" "diffcat" "null" "null" "null" "null" "null" "null" "null" "null" "repVcd" "null" "diffVoice" "va-ga" "3-1" 0.0563801508019679 0.23461394008181 0.77968583133906
16 "ga" 32723 5 "velar" "2" "ga.1.2.mp3" 1925 "Vel" "Vcd" "Stop" "diffcat" "repcat" "diffcat" "null" "null" "null" "null" "null" "null" "null" "null" "repVcd" "null" "diffVoice" "va-ga" "3-2" 0.0563801508019679 0.23461394008181 0.77968583133906
17 "ta" 34223 5 "alveolar" "3" "ta.2.3.mp3" 2620 "Alv" "Vls" "Stop" "diffcat" "diffcat" "repcat" "null" "null" "null" "null" "null" "null" "repStop" "null" "null" "null" "diffVoice" "ta-ga" "3-2" 0.0177160218315514 3.73722904018011 0.890611035596548
18 "SH_a" 35722 5 "palato-alveolar" "2" "SH_a.3.2.mp3" 1574 "Pal" "Vcd" "Fric" "diffcat" "diffcat" "diffcat" "null" "null" "null" "null" "null" "null" "null" "null" "null" "null" "diffVoice" "SH_a-ta" "3-2" 0.0188530700580233 3.93749613056707 2.04168299040294
19 "ka" 37222 5 "velar" "1" "ka.3.1.mp3" 2594 "Vel" "Vls" "Stop" "diffcat" "diffcat" "diffcat" "null" "null" "null" "null" "null" "null" "null" "null" "null" "null" "diffVoice" "SH_a-ka" "1-2" 0.0194871835121784 3.74420091509224 2.07006501220095
20 "za" 38721 5 "avleolar" "1" "za.2.1.mp3" 2398 "Alv" "Vcd" "Fric" "repvoice" "repvoice" "repvoice" "null" "null" "null" "null" "null" "null" "null" "null" "null" "null" "repVoice" "ka-za" "1-1" 0.0228770680919328 3.5290424992395 1.08486013171499
21 "na" 40221 5 "alveolar" "2" "na.3.2.mp3" 1832 "Alv" "Vcd" "Nas" "repcat" "repcat" "diffcat" "null" "repAlv" "null" "null" "null" "null" "null" "null" "repVcd" "null" "diffVoice" "na-za" "1-2" 0.0175448260161758 0.68045976599896 3.40779640942232
22 "va" 41720 5 "labio-dental" "4" "va.1.4.mp3" 1251 "Lab" "Vcd" "Fric" "diffcat" "repcat" "diffcat" "null" "null" "null" "null" "null" "null" "null" "null" "repVcd" "null" "diffVoice" "na-va" "4-2" 0.0241080367661359 0.46073715138293 2.46224350376282
23 "null" 43236 5 "null" "null" "null" NA "none" "none" "none" "diffcat" "diffcat" "diffcat" "null" "null" "null" "null" "null" "null" "null" "null" "null" "null" "diffVoice" "null" "null" NA NA NA
24 "za" 47235 5 "avleolar" "4" "za.1.4.mp3" 1451 "Alv" "Vcd" "Fric" "none" "none" "none" "null" "null" "null" "null" "null" "null" "null" "null" "null" "null" "diffVoice" "null-za" "null-4" NA NA NA
25 "pa" 48734 5 "labial" "4" "pa.1.4.mp3" 1377 "Lab" "Vls" "Stop" "repvoice" "repvoice" "repvoice" "null" "null" "null" "null" "null" "null" "null" "null" "null" "null" "repVoice" "pa-za" "4-4" 0.0262303501492357 3.53303944404641 1.14090652501667
