"Trial" "syllable" "Onset" "block_num" "Place" "voice" "filename" "rms" "place" "voicing" "manner" "rplace" "rvoicing" "rmanner" "rLab" "rAlv" "rDent" "rPal" "rVel" "rFric" "rStop" "rNasal" "rVcd" "rVls" "rvoice" "sylltrans" "voicetrans" "MillSim" "MillMDS1" "MillMDS2"
1 "pa" 10208 10 "labial" "2" "pa.1.2.mp3" 1592 "Lab" "Vls" "Stop" "none" "none" "none" "null" "null" "null" "null" "null" "null" "null" "null" "null" "null" "null" "null" "null" 0.0364423259600863 0.21984379454087 2.77466294853037
2 "null" 11724 10 "null" "null" "null" NA "none" "none" "none" "diffcat" "diffcat" "diffcat" "null" "null" "null" "null" "null" "null" "null" "null" "null" "null" "diffVoice" "null" "null" NA NA NA
3 "TH_a" 15722 10 "dental" "1" "TH_a.1.1.mp3" 2519 "Dent" "Vcd" "Fric" "none" "none" "none" "null" "null" "null" "null" "null" "null" "null" "null" "null" "null" "diffVoice" "null-TH_a" "null-1" NA NA NA
4 "ga" 17222 10 "velar" "1" "ga.1.1.mp3" 2788 "Vel" "Vcd" "Stop" "repvoice" "repcatvoice" "repvoice" "null" "null" "null" "null" "null" "null" "null" "null" "repVcd" "null" "repVoice" "TH_a-ga" "1-1" 0.120990305857703 0.15088964529664 0.629016833270206
5 "TH_a" 18721 10 "dental" "4" "TH_a.3.4.mp3" 1292 "Dent" "Vcd" "Fric" "diffcat" "repcat" "diffcat" "null" "null" "null" "null" "null" "null" "null" "null" "repVcd" "null" "diffVoice" "TH_a-ga" "4-1" 0.120990305857703 0.15088964529664 0.629016833270206
6 "sa" 20221 10 "alveolar" "4" "sa.2.4.mp3" 1115 "Alv" "Vls" "Fric" "repvoice" "repvoice" "repcatvoice" "null" "null" "null" "null" "null" "repFric" "null" "null" "null" "null" "repVoice" "TH_a-sa" "4-4" 0.0250740393246598 3.07116129388144 0.887934687016877
7 "null" 21737 10 "null" "null" "null" NA "none" "none" "none" "diffcat" "diffcat" "diffcat" "null" "null" "null" "null" "null" "null" "null" "null" "null" "null" "diffVoice" "null" "null" NA NA NA
8 "ma" 25735 10 "labial" "2" "ma.2.2.mp3" 1712 "Lab" "Vcd" "Nas" "none" "none" "none" "null" "null" "null" "null" "null" "null" "null" "null" "null" "null" "diffVoice" "null-ma" "null-2" NA NA NA
9 "null" 27251 10 "null" "null" "null" NA "none" "none" "none" "diffcat" "diffcat" "diffcat" "null" "null" "null" "null" "null" "null" "null" "null" "null" "null" "diffVoice" "null" "null" NA NA NA
10 "sa" 31250 10 "alveolar" "2" "sa.3.2.mp3" 1681 "Alv" "Vls" "Fric" "none" "none" "none" "null" "null" "null" "null" "null" "null" "null" "null" "null" "null" "diffVoice" "null-sa" "null-2" NA NA NA
11 "ga" 32749 10 "velar" "2" "ga.2.2.mp3" 2511 "Vel" "Vcd" "Stop" "repvoice" "repvoice" "repvoice" "null" "null" "null" "null" "null" "null" "null" "null" "null" "null" "repVoice" "sa-ga" "2-2" 0.0316847383912621 3.22205093917808 0.258917853746671
12 "sha" 34249 10 "palato-alveolar" "1" "sha.2.1.mp3" 1727 "Pal" "Vls" "Fric" "diffcat" "diffcat" "diffcat" "null" "null" "null" "null" "null" "null" "null" "null" "null" "null" "diffVoice" "sha-ga" "1-2" 0.0180389145793569 3.32808697497132 1.79962349783413
13 "ka" 35748 10 "velar" "4" "ka.2.4.mp3" 1241 "Vel" "Vls" "Stop" "diffcat" "repcat" "diffcat" "null" "null" "null" "null" "null" "null" "null" "null" "null" "repVls" "diffVoice" "ka-sha" "4-1" 0.0431383354927817 0.21584684973396 2.71861655522869
14 "SH_a" 37248 10 "palato-alveolar" "2" "SH_a.3.2.mp3" 1574 "Pal" "Vcd" "Fric" "diffcat" "diffcat" "diffcat" "null" "null" "null" "null" "null" "null" "null" "null" "null" "null" "diffVoice" "SH_a-ka" "4-2" 0.0194871835121784 3.74420091509224 2.07006501220095
15 "ka" 38747 10 "velar" "3" "ka.1.3.mp3" 993 "Vel" "Vls" "Stop" "diffcat" "diffcat" "diffcat" "null" "null" "null" "null" "null" "null" "null" "null" "null" "null" "diffVoice" "SH_a-ka" "3-2" 0.0194871835121784 3.74420091509224 2.07006501220095
16 "za" 40247 10 "avleolar" "3" "za.2.3.mp3" 2012 "Alv" "Vcd" "Fric" "repvoice" "repvoice" "repvoice" "null" "null" "null" "null" "null" "null" "null" "null" "null" "null" "repVoice" "ka-za" "3-3" 0.0228770680919328 3.5290424992395 1.08486013171499
17 "ga" 41746 10 "velar" "3" "ga.3.3.mp3" 2200 "Vel" "Vcd" "Stop" "repvoice" "repcatvoice" "repvoice" "null" "null" "null" "null" "null" "null" "null" "null" "repVcd" "null" "repVoice" "za-ga" "3-3" 0.139643669311959 0.0148913254657799 0.165867074320441
18 "tha" 43246 10 "dental" "4" "tha.3.4.mp3" 1155 "Dent" "Vls" "Fric" "diffcat" "diffcat" "diffcat" "null" "null" "null" "null" "null" "null" "null" "null" "null" "null" "diffVoice" "tha-ga" "3-4" 0.0362150149431953 3.07754061355192 0.395871483567404
19 "SH_a" 44746 10 "palato-alveolar" "1" "SH_a.2.1.mp3" 2274 "Pal" "Vcd" "Fric" "diffcat" "diffcat" "repcat" "null" "null" "null" "null" "null" "repFric" "null" "null" "null" "null" "diffVoice" "SH_a-tha" "4-1" 0.0163735463965243 3.27780770393888 1.5469434383738
20 "ba" 46261 10 "labial" "1" "ba.2.1.mp3" 2603 "Lab" "Vcd" "Stop" "repvoice" "repcatvoice" "repvoice" "null" "null" "null" "null" "null" "null" "null" "null" "repVcd" "null" "repVoice" "SH_a-ba" "1-1" 0.0284752464955132 0.2775156434719 2.08031687952682
21 "na" 47761 10 "alveolar" "2" "na.2.2.mp3" 1784 "Alv" "Vcd" "Nas" "diffcat" "repcat" "diffcat" "null" "null" "null" "null" "null" "null" "null" "null" "repVcd" "null" "diffVoice" "na-ba" "1-2" 0.024819469330927 0.6181025383798 2.31268441038145
22 "ga" 49260 10 "velar" "4" "ga.2.4.mp3" 1156 "Vel" "Vcd" "Stop" "diffcat" "repcat" "diffcat" "null" "null" "null" "null" "null" "null" "null" "null" "repVcd" "null" "diffVoice" "na-ga" "4-2" 0.0301743677158778 0.69535109146474 3.24192933510188
23 "ta" 50760 10 "alveolar" "4" "ta.1.4.mp3" 1101 "Alv" "Vls" "Stop" "repvoice" "repvoice" "repcatvoice" "null" "null" "null" "null" "null" "null" "repStop" "null" "null" "null" "repVoice" "ta-ga" "4-4" 0.0177160218315514 3.73722904018011 0.890611035596548
24 "da" 52259 10 "alveolar" "1" "da.3.1.mp3" 2800 "Alv" "Vcd" "Stop" "repcat" "diffcat" "repcat" "null" "repAlv" "null" "null" "null" "null" "repStop" "null" "null" "null" "diffVoice" "da-ta" "4-1" 0.0210098839279326 3.42766326230929 1.15762108717703
25 "SH_a" 53759 10 "palato-alveolar" "4" "SH_a.1.4.mp3" 1206 "Pal" "Vcd" "Fric" "diffcat" "repcat" "diffcat" "null" "null" "null" "null" "null" "null" "null" "null" "repVcd" "null" "diffVoice" "da-SH_a" "4-1" 0.0888856874159333 0.50983286825778 0.884061903225914
26 "sha" 55258 10 "palato-alveolar" "3" "sha.3.3.mp3" 1706 "Pal" "Vls" "Fric" "repcat" "diffcat" "repcat" "null" "null" "null" "repPal" "null" "repFric" "null" "null" "null" "null" "diffVoice" "SH_a-sha" "3-4" 0.0127643633516016 3.52835406535828 0.64855154302774
27 "sa" 56757 10 "alveolar" "1" "sa.1.1.mp3" 1877 "Alv" "Vls" "Fric" "diffcat" "repcat" "repcat" "null" "null" "null" "null" "null" "repFric" "null" "null" "null" "repVls" "diffVoice" "sa-sha" "3-1" 0.113246765824953 0.10603603579324 1.54070564408746
28 "sha" 58257 10 "palato-alveolar" "4" "sha.1.4.mp3" 1158 "Pal" "Vls" "Fric" "diffcat" "repcat" "repcat" "null" "null" "null" "null" "null" "repFric" "null" "null" "null" "repVls" "diffVoice" "sa-sha" "4-1" 0.113246765824953 0.10603603579324 1.54070564408746
29 "sha" 59756 10 "palato-alveolar" "2" "sha.1.2.mp3" 1473 "Pal" "Vls" "Fric" "repsyll" "repsyll" "repsyll" "null" "null" "null" "repPal" "null" "repFric" "null" "null" "null" "repVls" "diffVoice" "sha-sha" "4-2" NA NA NA
30 "fa" 61256 10 "labio-dental" "2" "fa.3.2.mp3" 1663 "Lab" "Vls" "Fric" "repvoice" "repcatvoice" "repcatvoice" "null" "null" "null" "null" "null" "repFric" "null" "null" "null" "repVls" "repVoice" "fa-sha" "2-2" 0.0279206459825738 0.33919360380161 2.16440603306173
31 "tha" 62822 10 "dental" "1" "tha.2.1.mp3" 2956 "Dent" "Vls" "Fric" "diffcat" "repcat" "repcat" "null" "null" "null" "null" "null" "repFric" "null" "null" "null" "repVls" "diffVoice" "fa-tha" "1-2" 0.424635788228768 0.58973996522101 0.031088948339811
32 "tha" 64255 10 "dental" "2" "tha.1.2.mp3" 2235 "Dent" "Vls" "Fric" "repsyll" "repsyll" "repsyll" "null" "null" "repDent" "null" "null" "repFric" "null" "null" "null" "repVls" "diffVoice" "tha-tha" "1-2" NA NA NA
33 "null" 65754 10 "null" "null" "null" NA "none" "none" "none" "diffcat" "diffcat" "diffcat" "null" "null" "null" "null" "null" "null" "null" "null" "null" "null" "diffVoice" "null" "null" NA NA NA
34 "SH_a" 69753 10 "palato-alveolar" "3" "SH_a.1.3.mp3" 1493 "Pal" "Vcd" "Fric" "none" "none" "none" "null" "null" "null" "null" "null" "null" "null" "null" "null" "null" "diffVoice" "null-SH_a" "null-3" NA NA NA
35 "va" 71252 10 "labio-dental" "2" "va.2.2.mp3" 2173 "Lab" "Vcd" "Fric" "diffcat" "repcat" "repcat" "null" "null" "null" "null" "null" "repFric" "null" "null" "repVcd" "null" "diffVoice" "va-SH_a" "3-2" 0.0276139152481812 0.43488103046877 1.93075778614545
36 "SH_a" 72752 10 "palato-alveolar" "1" "SH_a.3.1.mp3" 2460 "Pal" "Vcd" "Fric" "diffcat" "repcat" "repcat" "null" "null" "null" "null" "null" "repFric" "null" "null" "repVcd" "null" "diffVoice" "va-SH_a" "1-2" 0.0276139152481812 0.43488103046877 1.93075778614545
37 "TH_a" 74251 10 "dental" "3" "TH_a.2.3.mp3" 1581 "Dent" "Vcd" "Fric" "diffcat" "repcat" "repcat" "null" "null" "null" "null" "null" "repFric" "null" "null" "repVcd" "null" "diffVoice" "TH_a-SH_a" "3-1" 0.0354052643338604 0.3511567356836 1.7800887880766
38 "SH_a" 75751 10 "palato-alveolar" "2" "SH_a.2.2.mp3" 1800 "Pal" "Vcd" "Fric" "diffcat" "repcat" "repcat" "null" "null" "null" "null" "null" "repFric" "null" "null" "repVcd" "null" "diffVoice" "TH_a-SH_a" "3-2" 0.0354052643338604 0.3511567356836 1.7800887880766
39 "tha" 77250 10 "dental" "3" "tha.3.3.mp3" 1768 "Dent" "Vls" "Fric" "diffcat" "diffcat" "repcat" "null" "null" "null" "null" "null" "repFric" "null" "null" "null" "null" "diffVoice" "SH_a-tha" "3-2" 0.0163735463965243 3.27780770393888 1.5469434383738
40 "pa" 78750 10 "labial" "1" "pa.2.1.mp3" 2325 "Lab" "Vls" "Stop" "diffcat" "repcat" "diffcat" "null" "null" "null" "null" "null" "null" "null" "null" "null" "repVls" "diffVoice" "pa-tha" "3-1" 0.127757236025028 0.47039015596027 0.579167967128829
41 "ma" 80249 10 "labial" "4" "ma.1.4.mp3" 1134 "Lab" "Vcd" "Nas" "repcat" "diffcat" "diffcat" "repLab" "null" "null" "null" "null" "null" "null" "null" "null" "null" "diffVoice" "pa-ma" "4-1" 0.0264609848441258 2.43702739921542 2.19036919853488
42 "TH_a" 81749 10 "dental" "2" "TH_a.2.2.mp3" 2301 "Dent" "Vcd" "Fric" "diffcat" "repcat" "diffcat" "null" "null" "null" "null" "null" "null" "null" "null" "repVcd" "null" "diffVoice" "TH_a-ma" "4-2" 0.0369138726513164 0.960013725000135 2.53639181596091
43 "ka" 83298 10 "velar" "2" "ka.3.2.mp3" 2317 "Vel" "Vls" "Stop" "repvoice" "repvoice" "repvoice" "null" "null" "null" "null" "null" "null" "null" "null" "null" "null" "repVoice" "TH_a-ka" "2-2" 0.0212738357864609 3.39304417940864 0.289976224124346
44 "na" 84764 10 "alveolar" "4" "na.1.4.mp3" 1382 "Alv" "Vcd" "Nas" "diffcat" "diffcat" "diffcat" "null" "null" "null" "null" "null" "null" "null" "null" "null" "null" "diffVoice" "na-ka" "4-2" 0.0213124542766724 2.84858273324054 2.32293627770732
45 "fa" 86264 10 "labio-dental" "3" "fa.2.3.mp3" 2267 "Lab" "Vls" "Fric" "diffcat" "diffcat" "diffcat" "null" "null" "null" "null" "null" "null" "null" "null" "null" "null" "diffVoice" "na-fa" "3-4" 0.0124501934624614 2.97192948730819 2.87714679987428
46 "na" 87763 10 "alveolar" "3" "na.3.3.mp3" 1258 "Alv" "Vcd" "Nas" "repvoice" "repvoice" "repvoice" "null" "null" "null" "null" "null" "null" "null" "null" "null" "null" "repVoice" "na-fa" "3-3" 0.0124501934624614 2.97192948730819 2.87714679987428
47 "tha" 89262 10 "dental" "1" "tha.2.1.mp3" 2956 "Dent" "Vls" "Fric" "diffcat" "diffcat" "diffcat" "null" "null" "null" "null" "null" "null" "null" "null" "null" "null" "diffVoice" "na-tha" "3-1" 0.0183207062173377 2.38218952208718 2.84605785153447
48 "na" 90762 10 "alveolar" "1" "na.2.1.mp3" 1882 "Alv" "Vcd" "Nas" "repvoice" "repvoice" "repvoice" "null" "null" "null" "null" "null" "null" "null" "null" "null" "null" "repVoice" "na-tha" "1-1" 0.0183207062173377 2.38218952208718 2.84605785153447
49 "null" 92261 10 "null" "null" "null" NA "none" "none" "none" "diffcat" "diffcat" "diffcat" "null" "null" "null" "null" "null" "null" "null" "null" "null" "null" "diffVoice" "null" "null" NA NA NA
50 "na" 96260 10 "alveolar" "2" "na.3.2.mp3" 1832 "Alv" "Vcd" "Nas" "none" "none" "none" "null" "null" "null" "null" "null" "null" "null" "null" "null" "null" "diffVoice" "null-na" "null-2" NA NA NA
51 "ta" 97759 10 "alveolar" "2" "ta.3.2.mp3" 1654 "Alv" "Vls" "Stop" "repcatvoice" "repvoice" "repvoice" "null" "repAlv" "null" "null" "null" "null" "null" "null" "null" "null" "repVoice" "na-ta" "2-2" 0.0196978714889416 3.04187794871537 2.35131829950533
52 "na" 99259 10 "alveolar" "3" "na.1.3.mp3" 1144 "Alv" "Vcd" "Nas" "repcat" "diffcat" "diffcat" "null" "repAlv" "null" "null" "null" "null" "null" "null" "null" "null" "diffVoice" "na-ta" "3-2" 0.0196978714889416 3.04187794871537 2.35131829950533
53 "va" 100758 10 "labio-dental" "4" "va.1.4.mp3" 1251 "Lab" "Vcd" "Fric" "diffcat" "repcat" "diffcat" "null" "null" "null" "null" "null" "null" "null" "null" "repVcd" "null" "diffVoice" "na-va" "3-4" 0.0241080367661359 0.46073715138293 2.46224350376282
54 "null" 102274 10 "null" "null" "null" NA "none" "none" "none" "diffcat" "diffcat" "diffcat" "null" "null" "null" "null" "null" "null" "null" "null" "null" "null" "diffVoice" "null" "null" NA NA NA
55 "ta" 106273 10 "alveolar" "1" "ta.2.1.mp3" 1961 "Alv" "Vls" "Stop" "none" "none" "none" "null" "null" "null" "null" "null" "null" "null" "null" "null" "null" "diffVoice" "null-ta" "null-1" NA NA NA
56 "null" 107789 10 "null" "null" "null" NA "none" "none" "none" "diffcat" "diffcat" "diffcat" "null" "null" "null" "null" "null" "null" "null" "null" "null" "null" "diffVoice" "null" "null" NA NA NA
57 "tha" 111788 10 "dental" "2" "tha.1.2.mp3" 2235 "Dent" "Vls" "Fric" "none" "none" "none" "null" "null" "null" "null" "null" "null" "null" "null" "null" "null" "diffVoice" "null-tha" "null-2" NA NA NA
58 "za" 113287 10 "avleolar" "2" "za.3.2.mp3" 1541 "Alv" "Vcd" "Fric" "repvoice" "repvoice" "repcatvoice" "null" "null" "null" "null" "null" "repFric" "null" "null" "null" "null" "repVoice" "za-tha" "2-2" 0.0321029606059229 3.06264928808614 0.561738557887845
