"Trial" "syllable" "Onset" "block_num" "Place" "voice" "filename" "place" "voicing" "manner" "rplace" "rvoicing" "rmanner" "rLab" "rAlv" "rDent" "rPal" "rVel" "rFric" "rStop" "rNasal" "rVcd" "rVls" "rvoice" "sylltrans" "voicetrans" "MillSim"
1 "TH_a" 10207 7 "dental" "1" "TH_a.3.1.mp3" "Dent" "Vcd" "Fric" "none" "none" "none" "null" "null" "null" "null" "null" "null" "null" "null" "null" "null" "null" "null" "null" 0.018398855471175
2 "ta" 11707 7 "alveolar" "1" "ta.1.1.mp3" "Alv" "Vls" "Stop" "repvoice" "repvoice" "repvoice" "null" "null" "null" "null" "null" "null" "null" "null" "null" "null" "repVoice" "ta-TH_a" "1-1" 0.018398855471175
3 "na" 13206 7 "alveolar" "3" "na.1.3.mp3" "Alv" "Vcd" "Nas" "repcat" "diffcat" "diffcat" "null" "repAlv" "null" "null" "null" "null" "null" "null" "null" "null" "diffVoice" "ta-na" "1-3" 0.0196978714889416
4 "sa" 14705 7 "alveolar" "1" "sa.3.1.mp3" "Alv" "Vls" "Fric" "repcat" "diffcat" "diffcat" "null" "repAlv" "null" "null" "null" "null" "null" "null" "null" "null" "diffVoice" "na-sa" "1-3" 0.0139257103845774
5 "ba" 16205 7 "labial" "1" "ba.2.1.mp3" "Lab" "Vcd" "Stop" "repvoice" "repvoice" "repvoice" "null" "null" "null" "null" "null" "null" "null" "null" "null" "null" "repVoice" "ba-sa" "1-1" 0.0254946378214668
6 "sa" 17704 7 "alveolar" "2" "sa.1.2.mp3" "Alv" "Vls" "Fric" "diffcat" "diffcat" "diffcat" "null" "null" "null" "null" "null" "null" "null" "null" "null" "null" "diffVoice" "ba-sa" "2-1" 0.0254946378214668
7 "va" 19204 7 "labio-dental" "1" "va.2.1.mp3" "Lab" "Vcd" "Fric" "diffcat" "diffcat" "repcat" "null" "null" "null" "null" "null" "repFric" "null" "null" "null" "null" "diffVoice" "va-sa" "2-1" 0.0231050611407216
8 "sha" 20703 7 "palato-alveolar" "4" "sha.2.4.mp3" "Pal" "Vls" "Fric" "diffcat" "diffcat" "repcat" "null" "null" "null" "null" "null" "repFric" "null" "null" "null" "null" "diffVoice" "sha-va" "4-1" 0.019665034907335
9 "ta" 22203 7 "alveolar" "3" "ta.2.3.mp3" "Alv" "Vls" "Stop" "diffcat" "repcat" "diffcat" "null" "null" "null" "null" "null" "null" "null" "null" "null" "repVls" "diffVoice" "sha-ta" "4-3" 0.0486434393382033
10 "za" 23702 7 "alveolar" "3" "za.1.3.mp3" "Alv" "Vcd" "Fric" "repcatvoice" "repvoice" "repvoice" "null" "repAlv" "null" "null" "null" "null" "null" "null" "null" "null" "repVoice" "ta-za" "3-3" 0.0233811261053915
11 "ba" 25202 7 "labial" "3" "ba.1.3.mp3" "Lab" "Vcd" "Stop" "repvoice" "repcatvoice" "repvoice" "null" "null" "null" "null" "null" "null" "null" "null" "repVcd" "null" "repVoice" "za-ba" "3-3" 0.0565234331615674
12 "na" 26701 7 "alveolar" "1" "na.2.1.mp3" "Alv" "Vcd" "Nas" "diffcat" "repcat" "diffcat" "null" "null" "null" "null" "null" "null" "null" "null" "repVcd" "null" "diffVoice" "na-ba" "1-3" 0.024819469330927
13 "da" 28201 7 "alveolar" "3" "da.1.3.mp3" "Alv" "Vcd" "Stop" "repcat" "repcat" "diffcat" "null" "repAlv" "null" "null" "null" "null" "null" "null" "repVcd" "null" "diffVoice" "da-na" "1-3" 0.0303140877460462
14 "null" 29700 7 "null" "null" "null" "none" "none" "none" "diffcat" "diffcat" "diffcat" "null" "null" "null" "null" "null" "null" "null" "null" "null" "null" "diffVoice" "null" "null" NA
15 "na" 33699 7 "alveolar" "2" "na.3.2.mp3" "Alv" "Vcd" "Nas" "none" "none" "none" "null" "null" "null" "null" "null" "null" "null" "null" "null" "null" "diffVoice" "null-na" "null-2" NA
16 "null" 35198 7 "null" "null" "null" "none" "none" "none" "diffcat" "diffcat" "diffcat" "null" "null" "null" "null" "null" "null" "null" "null" "null" "null" "diffVoice" "null" "null" NA
17 "sha" 39197 7 "palato-alveolar" "1" "sha.1.1.mp3" "Pal" "Vls" "Fric" "none" "none" "none" "null" "null" "null" "null" "null" "null" "null" "null" "null" "null" "diffVoice" "null-sha" "null-1" NA
18 "pa" 40696 7 "labial" "4" "pa.3.4.mp3" "Lab" "Vls" "Stop" "diffcat" "repcat" "diffcat" "null" "null" "null" "null" "null" "null" "null" "null" "null" "repVls" "diffVoice" "sha-pa" "4-1" 0.0364423259600863
19 "tha" 42196 7 "dental" "3" "tha.1.3.mp3" "Dent" "Vls" "Fric" "diffcat" "repcat" "diffcat" "null" "null" "null" "null" "null" "null" "null" "null" "null" "repVls" "diffVoice" "tha-pa" "4-3" 0.127757236025028
20 "null" 43695 7 "null" "null" "null" "none" "none" "none" "diffcat" "diffcat" "diffcat" "null" "null" "null" "null" "null" "null" "null" "null" "null" "null" "diffVoice" "null" "null" NA
21 "ga" 47710 7 "velar" "3" "ga.2.3.mp3" "Vel" "Vcd" "Stop" "none" "none" "none" "null" "null" "null" "null" "null" "null" "null" "null" "null" "null" "diffVoice" "null-ga" "null-3" NA
22 "TH_a" 49210 7 "dental" "2" "TH_a.2.2.mp3" "Dent" "Vcd" "Fric" "diffcat" "repcat" "diffcat" "null" "null" "null" "null" "null" "null" "null" "null" "repVcd" "null" "diffVoice" "TH_a-ga" "2-3" 0.120990305857703
23 "va" 50709 7 "labio-dental" "4" "va.1.4.mp3" "Lab" "Vcd" "Fric" "diffcat" "repcat" "repcat" "null" "null" "null" "null" "null" "repFric" "null" "null" "repVcd" "null" "diffVoice" "TH_a-va" "2-4" 0.340793227790882
24 "TH_a" 52209 7 "dental" "4" "TH_a.1.4.mp3" "Dent" "Vcd" "Fric" "repvoice" "repcatvoice" "repcatvoice" "null" "null" "null" "null" "null" "repFric" "null" "null" "repVcd" "null" "repVoice" "TH_a-va" "4-4" 0.340793227790882
25 "tha" 53708 7 "dental" "4" "tha.3.4.mp3" "Dent" "Vls" "Fric" "repcatvoice" "repvoice" "repcatvoice" "null" "null" "repDent" "null" "null" "repFric" "null" "null" "null" "null" "repVoice" "TH_a-tha" "4-4" 0.0316024894543282
26 "fa" 55208 7 "labio-dental" "2" "fa.3.2.mp3" "Lab" "Vls" "Fric" "diffcat" "repcat" "repcat" "null" "null" "null" "null" "null" "repFric" "null" "null" "null" "repVls" "diffVoice" "tha-fa" "2-4" 0.424635788228768
27 "SH_a" 56707 7 "palato-alveolar" "4" "SH_a.3.4.mp3" "Pal" "Vcd" "Fric" "diffcat" "diffcat" "repcat" "null" "null" "null" "null" "null" "repFric" "null" "null" "null" "null" "diffVoice" "SH_a-fa" "2-4" 0.0109549380134048
28 "TH_a" 58206 7 "dental" "3" "TH_a.3.3.mp3" "Dent" "Vcd" "Fric" "diffcat" "repcat" "repcat" "null" "null" "null" "null" "null" "repFric" "null" "null" "repVcd" "null" "diffVoice" "TH_a-SH_a" "4-3" 0.0354052643338604
29 "za" 59706 7 "alveolar" "2" "za.3.2.mp3" "Alv" "Vcd" "Fric" "diffcat" "repcat" "repcat" "null" "null" "null" "null" "null" "repFric" "null" "null" "repVcd" "null" "diffVoice" "TH_a-za" "2-3" 0.163608918306741
30 "da" 61205 7 "alveolar" "4" "da.2.4.mp3" "Alv" "Vcd" "Stop" "repcat" "repcat" "diffcat" "null" "repAlv" "null" "null" "null" "null" "null" "null" "repVcd" "null" "diffVoice" "da-za" "2-4" 0.107120141382959
31 "na" 62705 7 "alveolar" "4" "na.2.4.mp3" "Alv" "Vcd" "Nas" "repcatvoice" "repcatvoice" "repvoice" "null" "repAlv" "null" "null" "null" "null" "null" "null" "repVcd" "null" "repVoice" "da-na" "4-4" 0.0303140877460462
32 "za" 64204 7 "alveolar" "4" "za.2.4.mp3" "Alv" "Vcd" "Fric" "repcatvoice" "repcatvoice" "repvoice" "null" "repAlv" "null" "null" "null" "null" "null" "null" "repVcd" "null" "repVoice" "na-za" "4-4" 0.0175448260161758
33 "va" 65704 7 "labio-dental" "2" "va.3.2.mp3" "Lab" "Vcd" "Fric" "diffcat" "repcat" "repcat" "null" "null" "null" "null" "null" "repFric" "null" "null" "repVcd" "null" "diffVoice" "va-za" "2-4" 0.0811683241180293
